rank,total_score,relevance,usability,authority,resource_richness,freshness,category,source,domain,title,url,tags,topic,query,summary
1,92.16,100,90.0,88.0,78,95.0,开源代码,github,github.com,rogal01/tower-defense-case-study,https://github.com/rogal01/tower-defense-case-study,地图|技术文档|开源代码|SDK/API|可下载资源|涉及授权/版权,Godot游戏设计与GDScript,Godot tower defense game design,"【开源代码】rogal01/tower-defense-case-study | 来源:github | 站点:github.com | 提供:地图、技术文档、开源代码、SDK/API、可下载资源、涉及授权/版权 | 相关词:unity、tile、api、demo、github、godot、gdscript、game | 摘要:A multi-engine case study demonstrating high-fidelity game design parity across Kotlin, Godot, and Unity. | ⭐0 | 语言:unknown | 更新:2026-05-04T23:00:19Z"
2,90.04,100,96.0,88.0,72,55.0,地图数据,official,github.com,Godot Top-down Shooter Tutorial - GitHubCreating a Top-Down Shooter Game in Godot - Sharp Coder BlogHow to do top-down game movement in Godot - GDQuestGodot 4: How to shoot in Top Down Game - Game DevelopmentGodot 2D Academy: Learn how to create a Topdown Shooter GameCatlike Coding's True Top-Down 2D Tutorial Series,https://github.com/josephmbustamante/Godot-Top-down-Shooter-Tutorial,地图|技术文档|开源代码|教程|可下载资源|涉及授权/版权,Godot游戏设计与GDScript,Godot top down shooter tutorial,【地图数据】Godot Top-down Shooter Tutorial - GitHubCreating a Top-Down Shooter Game in Godo | 来源:official | 站点:github.com | 提供:地图、技术文档、开源代码、教程、可下载资源、涉及授权/版权 | 相关词:unity、tile、github、godot、gdscript、game、ai | 摘要:This repository contains the source code for the Godot Top-down Shooter Tutorial series. You can follow along with the series on YouTube. See full list on github.com I make a separate commit at the en
3,89.92,100,98.0,88.0,66,55.0,体感手势,official,github.com,GitHub - lmgame-org/GamingAgent: [ICLR 2026] LLM/VLM gaming ...,https://github.com/lmgame-org/GamingAgent,技术文档|开源代码|教程|SDK/API|可下载资源|涉及授权/版权,AI辅助游戏创作与智能体,AI assisted game development LLM agent,【体感手势】GitHub - lmgame-org/GamingAgent: [ICLR 2026] LLM/VLM gaming ... | 来源:official | 站点:github.com | 提供:技术文档、开源代码、教程、SDK/API、可下载资源、涉及授权/版权 | 相关词:api、github、game、ai、llm、gpt、agent | 摘要:Introduction This repo enables and tests LLM/VLM-based agents in standardized interctive gaming envrionments. It consists of two main features: Evaluating state-of-the-art models with a suite of diver
4,89.38,100,98.0,62.0,94,55.0,教程视频,csdn,wenku.csdn.net,godot-2d-topdown-shooter:从https学习,https://wenku.csdn.net/doc/1bsgr10kew?ops_request_misc=elastic_search_misc&request_id=6ad6b0ad7308438480e54c5d28b1f5f9&biz_id=&utm_medium=distribute.pc_search_result.none-task-c_download-2~all~ElasticSearch~search_v2-1-1bsgr10kew-null-null.142^v102^pc_search_result_base5&utm_term=Godot%20top%20down%20shooter%20tutorial,地图|模型|技术文档|开源代码|教程|SDK/API|可下载资源,Godot游戏设计与GDScript,Godot top down shooter tutorial,【教程视频】godot-2d-topdown-shooter:从https学习 | 来源:csdn | 站点:wenku.csdn.net | 提供:地图、模型、技术文档、开源代码、教程、SDK/API、可下载资源 | 相关词:3d、地图、tile、开源、api、demo、godot、游戏 | 摘要:<em>Godot</em>引擎作为一款开源、跨平台、轻量级且功能强大的游戏开发工具，在2D游戏开发领域具有极高的灵活性与可扩展性，尤其适合独立开发者与教学实践项目。本项目“<em>godot</em>-2d-topdown-<em>shooter</em>:从https学习”是一个典型的<em>Godot</em> 2D俯视角射击（<em>Top</em>-<em>down</em> <em>S
5,88.92,88,98.0,88.0,66,95.0,开源代码,github,github.com,swati1024/torrents,https://github.com/swati1024/torrents,技术文档|开源代码|教程|SDK/API|可下载资源|涉及授权/版权,模板化与参数化游戏生成,data driven game design JSON config,"【开源代码】swati1024/torrents | 来源:github | 站点:github.com | 提供:技术文档、开源代码、教程、SDK/API、可下载资源、涉及授权/版权 | 相关词:3d、api、github、game、ai | 摘要:Skip to content   Search… All gists Back to GitHub Sign in Sign up Instantly share code, notes, and snippets.  @giansalex giansalex/torrent-courses-download-list.md forked from M-Younus/torrent course"
6,88.64,96,96.0,88.0,72,55.0,地图数据,official,github.com,GitHub - JingyeChen/awesome-game-generation: ️ Explore ...,https://github.com/JingyeChen/awesome-game-generation,模型|技术文档|开源代码|数据集|教程|涉及授权/版权,AI辅助游戏创作与智能体,procedural game generation AI tutorial,"【地图数据】GitHub - JingyeChen/awesome-game-generation: ️ Explore ... | 来源:official | 站点:github.com | 提供:模型、技术文档、开源代码、数据集、教程、涉及授权/版权 | 相关词:3d、demo、github、游戏、game、ai、llm、agent | 摘要:Mar 10, 2025 · A curated list of resources for using artificial intelligence models in game development, especially in game generation. Here, we maintain a comprehensive collection of research papers,"
7,88.06,100,100.0,62.0,78,55.0,地图数据,csdn,wenku.csdn.net,godot-maze:Godot的插件，可创建迷宫,https://wenku.csdn.net/doc/4owi2oasd5?ops_request_misc=elastic_search_misc&request_id=3f3a0470f5b64b2880862b5e3a44d061&biz_id=&utm_medium=distribute.pc_search_result.none-task-c_download-2~all~ElasticSearch~search_v2-3-4owi2oasd5-null-null.142^v102^pc_search_result_base5&utm_term=roguelike%20data%20driven%20design%20godot,地图|技术文档|开源代码|教程|SDK/API|可下载资源,模板化与参数化游戏生成,roguelike data driven design godot,【地图数据】godot-maze:Godot的插件，可创建迷宫 | 来源:csdn | 站点:wenku.csdn.net | 提供:地图、技术文档、开源代码、教程、SDK/API、可下载资源 | 相关词:3d、瓦片、tile、开源、api、demo、godot、gdscript | 摘要:<em>Godot</em>引擎作为一款开源、跨平台且功能强大的2D/3D游戏开发框架，近年来在独立游戏开发者社区中迅速崛起，其轻量级架构、可视化编辑器、GDScript语言的易用性以及对脚本化流程的高度支持，使其成为程序化内容生成（Procedural Generation）实践的理想平台。而“<em>godot</em>-maze”这一插件项目，正是将算法工程与游戏引擎深度结合的典型范例，它不
8,87.64,100,88.0,88.0,72,55.0,开源代码,official,github.com,GitHub - brettchalupa/godot_2d_platformer: Starter kit template for...,https://github.com/brettchalupa/godot_2d_platformer,地图|技术文档|开源代码|教程|可下载资源|涉及授权/版权,模板化与参数化游戏生成,site:github.com godot game template starter,"【开源代码】GitHub - brettchalupa/godot_2d_platformer: Starter kit template for... | 来源:official | 站点:github.com | 提供:地图、技术文档、开源代码、教程、可下载资源、涉及授权/版权 | 相关词:tile、demo、github、godot、gdscript、game、ai、platformer | 摘要:Godot 2D Platformer Starter Kit.Complete 2D platformer template made in Godot 4 with three levels, music, sfx, and a main menu. Ready for you to take and make an awesome game with."
9,87.28,100,90.0,88.0,64,55.0,开源代码,official,github.com,game-template · GitHub Topics · GitHub,https://github.com/topics/game-template?o=desc&s=forks,技术文档|开源代码|数据集|SDK/API|可下载资源,模板化与参数化游戏生成,site:github.com godot game template starter,"【开源代码】game-template · GitHub Topics · GitHub | 来源:official | 站点:github.com | 提供:技术文档、开源代码、数据集、SDK/API、可下载资源 | 相关词:unity、3d、api、demo、github、godot、gdscript、game | 摘要:Godot 4 template for game projects (GDScript), inspired by Maaack's Template.Starter kit template for a complete, basic Godot 4 2D platformer game."
10,87.22,100,98.0,62.0,76,55.0,技术文档,csdn,wenku.csdn.net,34-Game-Studio,https://wenku.csdn.net/doc/44oio4cwtw?ops_request_misc=elastic_search_misc&request_id=bd50102e9dd6459f87910ecd03c53ac7&biz_id=&utm_medium=distribute.pc_search_result.none-task-c_download-2~all~ElasticSearch~search_v2-1-44oio4cwtw-null-null.142^v102^pc_search_result_base4&utm_term=data%20driven%20game%20design%20JSON%20config,模型|技术文档|开源代码|教程|SDK/API|可下载资源,模板化与参数化游戏生成,data driven game design JSON config,【技术文档】34-Game-Studio | 来源:csdn | 站点:wenku.csdn.net | 提供:模型、技术文档、开源代码、教程、SDK/API、可下载资源 | 相关词:unity、开源、sdk、api、demo、github、游戏、game | 摘要:“34-<em>Game</em>-Studio”是一个以游戏开发为核心目标的开源技术实践组织或项目品牌，其名称中的数字“34”可能具有特定象征意义（如成立年份、团队编号、致敬某款经典游戏版本号，或代表某种技术理念的抽象编码），而“<em>Game</em>-Studio”则明确指向专业级游戏创作实体。从描述“34游戏工作室”这一简洁中文命名可见，该项目并非单纯个人练手工程，而是具备工作室级协作意
11,86.26,100,90.0,62.0,88,55.0,教程视频,csdn,wenku.csdn.net,1417888831_Platformer_Procedural_Generation.rar_Windows编程_UNIX_,https://wenku.csdn.net/doc/5d4fiu3qjw?ops_request_misc=elastic_search_misc&request_id=50987fb671534048abb714aebc20ccf0&biz_id=&utm_medium=distribute.pc_search_result.none-task-c_download-2~all~ElasticSearch~search_v2-6-5d4fiu3qjw-null-null.142^v102^pc_search_result_base2&utm_term=procedural%20game%20generation%20AI%20tutorial,地图|模型|技术文档|开源代码|SDK/API|可下载资源,AI辅助游戏创作与智能体,procedural game generation AI tutorial,【教程视频】1417888831_Platformer_Procedural_Generation.rar_Windows编程_UNIX_ | 来源:csdn | 站点:wenku.csdn.net | 提供:地图、模型、技术文档、开源代码、SDK/API、可下载资源 | 相关词:unity、地图、开源、sdk、api、godot、游戏、game | 摘要:平台游戏（Platformer）的程序化生成（<em>Procedural</em> <em>Generation</em>）是现代游戏开发中一项高度融合算法设计、数据结构、图形渲染、物理模拟与跨平台适配能力的核心技术。本项目标题“1417888831_Platformer_<em>Procedural</em>_<em>Generation</em>.rar_Windows编程_UNIX_”明确
